timestamp,eye_rub_first_hand_report,eye_rub_first_hand_count,eye_rub_first_hand_durations,|,eye_rub_second_hand_report,eye_rub_second_hand_count,eye_rub_second_hand_durations,|,flicker_report,flicker_count,|,micro_sleep_report,micro_sleep_count,micro_sleep_durations,|,pitch_report,pitch_count,pitch_durations,|,yawn_report,yawn_count,yawn_durations
2024-08-20 20:36:45,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 5.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 169.0 seconds remaining.,[]
2024-08-20 20:37:06,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 8.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 147.0 seconds remaining.,[]
2024-08-20 20:37:07,False,0,[],|,False,0,[],|,False,Counting flickers... 27.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 8.0 seconds'],|,False,Counting yawns... 147.0 seconds remaining.,[]
2024-08-20 20:37:33,False,0,[],|,False,0,[],|,True,7,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-08-20 20:38:33,False,0,[],|,False,0,[],|,True,27,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
2024-08-20 20:39:32,False,0,[],|,False,0,[],|,True,15,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2024-08-20 20:39:33,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 5.0 seconds']
2024-08-20 20:39:52,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 8.0 seconds', '3 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 161.0 seconds remaining.,[]
2024-08-20 20:40:03,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 8.0 seconds', '3 micro sleep: 2.0 seconds', '4 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 151.0 seconds remaining.,[]
2024-08-20 20:40:32,False,0,[],|,False,0,[],|,True,14,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 121.0 seconds remaining.,[]
2024-08-20 20:41:32,False,0,[],|,False,0,[],|,True,12,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 62.0 seconds remaining.,[]
2024-08-20 20:41:33,True,2,"['1 right eye rub: 4.0 seconds', '2 right eye rub: 7.0 seconds']",|,True,1,['1 right eye rub: 7.0 seconds'],|,False,Counting flickers... 58.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 60.0 seconds remaining.,[]
2024-08-20 20:42:31,False,0,[],|,False,0,[],|,True,9,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 2.0 seconds remaining.,[]
2024-08-20 20:42:33,False,0,[],|,False,0,[],|,False,Counting flickers... 58.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 5.0 seconds']
2024-08-20 20:43:48,False,0,[],|,False,0,[],|,True,27,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-08-20 20:43:56,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 112.0 seconds remaining.,[]
2024-08-20 20:44:01,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 107.0 seconds remaining.,[]
2024-08-20 20:44:09,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 100.0 seconds remaining.,[]
2024-08-20 20:44:09,False,0,[],|,False,0,[],|,False,Counting flickers... 39.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 11.0 seconds'],|,False,Counting yawns... 99.0 seconds remaining.,[]
2024-08-20 20:44:25,False,0,[],|,False,0,[],|,False,Counting flickers... 23.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds']",|,False,Counting yawns... 84.0 seconds remaining.,[]
